Optimism Geth Workshop,Wave/Round,Term,Amount (Token),Amount (USD)
Sprintcheckout,GG17 Beta ZK Technology,Apr 2023,"22,116.86","$15,000.00"
zkREPL,GG17 Beta ZK Technology,Apr 2023,"22,116.86","$15,000.00"
EZKL,GG17 Beta ZK Technology,Apr 2023,"22,116.86","$14,468.50"
"PLUME: Pseudonymously Linked Unique Message Entities, aka Verifiably Deterministic Signatures on Ethereum",GG17 Beta ZK Technology,Apr 2023,"21,905.68","$13,605.75"
Switch Electric: Maxwell,GG17 Beta ZK Technology,Apr 2023,"21,371.52","$8,004.03"
Zero Knowledge Podcast,GG17 Beta ZK Technology,Apr 2023,"21,366.55","$5,546.92"
Trustless zkMafia,GG17 Beta ZK Technology,Apr 2023,"20,648.03","$3,374.80"
Lenster,GG18 Cluster QF Web3 Open Source Software,Aug 2023,"20,551.64","$15,000.00"
JediSwap,GG18 Cluster QF Web3 Open Source Software,Aug 2023,"19,875.86","$15,000.00"
Revoke.cash - Helping you stay safe in web3,GG18 Cluster QF Web3 Open Source Software,Aug 2023,"19,875.86","$15,000.00"
DefiLlama,GG18 Cluster QF Web3 Open Source Software,Aug 2023,"19,875.86","$15,000.00"
IDriss - A more usable web3 for everyone,GG18 Cluster QF Web3 Open Source Software,Aug 2023,"19,875.86","$15,000.00"
Via | Cross-chain router,GG18 Cluster QF Web3 Open Source Software,Aug 2023,"19,875.86","$15,000.00"
Lenstube,GG18 Cluster QF Web3 Open Source Software,Aug 2023,"19,875.86","$15,000.00"
Umbra,GG18 Cluster QF Web3 Open Source Software,Aug 2023,"19,875.86","$15,000.00"
BrightID 🔆 Universal Proof of Uniqueness,GG18 Cluster QF Web3 Open Source Software,Aug 2023,"19,875.86","$15,000.00"
Loanshark,GG18 Cluster QF Web3 Open Source Software,Aug 2023,"19,875.86","$15,000.00"
Sybil Defense for Public Goods - with privacy,GG18 Cluster QF Web3 Open Source Software,Aug 2023,"19,875.86","$15,000.00"
IDENA: Proof-of-Person protocol,GG18 Cluster QF Web3 Open Source Software,Aug 2023,"19,875.86","$12,640.95"
zkBob,GG18 Cluster QF Web3 Open Source Software,Aug 2023,"19,875.86","$11,586.68"
Nomis,GG18 Cluster QF Web3 Open Source Software,Aug 2023,"19,875.86","$11,006.53"
MetaMail,GG18 Cluster QF Web3 Open Source Software,Aug 2023,"19,875.86","$10,861.66"
Sybil-scorer,GG18 Cluster QF Web3 Open Source Software,Aug 2023,"19,875.86","$10,393.10"
Mirror,GG18 Cluster QF Web3 Open Source Software,Aug 2023,"19,875.86","$9,449.46"
POAPin,GG18 Cluster QF Web3 Open Source Software,Aug 2023,"19,875.86","$7,902.28"
Horiza,GG18 Cluster QF Web3 Open Source Software,Aug 2023,"19,875.86","$7,868.05"
Carmine Options AMM,GG18 Cluster QF Web3 Open Source Software,Aug 2023,"19,875.86","$5,304.10"
ShapeShift DAO,GG18 Cluster QF Web3 Open Source Software,Aug 2023,"19,875.86","$3,143.38"
Chaineye,GG18 Cluster QF Web3 Open Source Software,Aug 2023,"19,875.86","$3,041.83"
DefiLab.xyz,GG18 Cluster QF Web3 Open Source Software,Aug 2023,"19,305.92","$2,817.10"
HERE Wallet,GG18 Cluster QF Web3 Open Source Software,Aug 2023,"18,471.13","$2,774.61"
Punk Domains - Web3 Social Names Protocol,GG18 Cluster QF Web3 Open Source Software,Aug 2023,"18,429.39","$2,725.34"
Zk- Block | Tools for Zk & Web3 Dapps,GG18 Cluster QF Web3 Open Source Software,Aug 2023,"18,236.10","$2,394.17"
Starksheet,GG18 Cluster QF Web3 Open Source Software,Aug 2023,"17,888.27","$1,947.03"
Giveth,GG18 Cluster QF Web3 Open Source Software,Aug 2023,"17,888.27","$1,901.73"
dm3 protocol - the interoperability initiative,GG18 Cluster QF Web3 Open Source Software,Aug 2023,"17,715.35","$1,585.55"
4EVERLAND,GG18 Cluster QF Web3 Open Source Software,Aug 2023,"17,391.37","$1,576.21"
ZeroPool,GG18 Cluster QF Web3 Open Source Software,Aug 2023,"17,333.73","$1,443.13"
Impersonator,GG18 Cluster QF Web3 Open Source Software,Aug 2023,"17,189.63","$1,404.57"
PrivX,GG18 Cluster QF Web3 Open Source Software,Aug 2023,"17,142.93","$1,368.15"
TalentLayer,GG18 Cluster QF Web3 Open Source Software,Aug 2023,"16,894.48","$1,315.10"
BladeDAO,GG18 Cluster QF Web3 Open Source Software,Aug 2023,"16,496.96","$1,237.68"
Kleo Network,GG18 Cluster QF Web3 Open Source Software,Aug 2023,"14,906.89","$1,234.63"
rotki,GG18 Cluster QF Web3 Open Source Software,Aug 2023,"14,906.89","$1,228.53"
The Tor Project,GG18 Cluster QF Web3 Open Source Software,Aug 2023,"14,906.89",$948.34
Epoch Protocol,GG18 Cluster QF Web3 Open Source Software,Aug 2023,"14,906.89",$693.48
1Hive Gardens,GG18 Cluster QF Web3 Open Source Software,Aug 2023,"14,906.89",$672.20
Rouge Ticket,GG18 Cluster QF Web3 Open Source Software,Aug 2023,"14,906.89",$657.04
ZKP2P Fiat On Ramp,GG18 Cluster QF Web3 Open Source Software,Aug 2023,"14,906.89",$628.73
ITU Blockchain,GG18 Cluster QF Web3 Open Source Software,Aug 2023,"14,906.89",$588.94
The Badge,GG18 Cluster QF Web3 Open Source Software,Aug 2023,"14,906.89",$532.82
Glo Dollar,GG18 Cluster QF Web3 Open Source Software,Aug 2023,"14,906.89",$409.28
EVM Diff,GG18 Cluster QF Web3 Open Source Software,Aug 2023,"14,906.89",$399.34
ethstaker.tax,GG18 Cluster QF Web3 Open Source Software,Aug 2023,"14,906.89",$379.49
Beepo,GG18 Cluster QF Web3 Open Source Software,Aug 2023,"14,906.89",$369.77
WTF Academy,GG18 Cluster QF Web3 Open Source Software,Aug 2023,"14,906.89",$367.96
Commons Stack,GG18 Cluster QF Web3 Open Source Software,Aug 2023,"14,906.89",$364.17
Citizen Wallet - an open source wallet with account abstraction for your community,GG18 Cluster QF Web3 Open Source Software,Aug 2023,"14,906.89",$354.18
Uniswap V3 Calculator & Simulator,GG18 Cluster QF Web3 Open Source Software,Aug 2023,"14,906.89",$333.87
⚡ TurboETH,GG18 Cluster QF Web3 Open Source Software,Aug 2023,"14,820.93",$329.40
Synpress,GG18 Cluster QF Web3 Open Source Software,Aug 2023,"13,373.47",$322.01
Pulsar Protocol,GG18 Cluster QF Web3 Open Source Software,Aug 2023,"12,697.69",$317.09
Otterscan,GG18 Cluster QF Web3 Open Source Software,Aug 2023,"12,422.41",$309.26
UNIT,GG18 Cluster QF Web3 Open Source Software,Aug 2023,"12,422.41",$305.38
viaPrize,GG18 Cluster QF Web3 Open Source Software,Aug 2023,"12,422.41",$242.78
DigiOracle,GG18 Cluster QF Web3 Open Source Software,Aug 2023,"12,422.41",$241.76
ENS Wayback Machine,GG18 Cluster QF Web3 Open Source Software,Aug 2023,"12,422.41",$240.60
OPML: OPtimistic Machine Learning on Blockchain,GG18 Cluster QF Web3 Open Source Software,Aug 2023,"12,230.61",$238.83
Fusion – Open Source Web3 Icon Set,GG18 Cluster QF Web3 Open Source Software,Aug 2023,"11,580.67",$222.07
Stake Garden 🌳,GG18 Cluster QF Web3 Open Source Software,Aug 2023,"11,428.62",$219.91
Thunder Chat,GG18 Cluster QF Web3 Open Source Software,Aug 2023,"11,180.17",$198.32
SafeTransfer,GG18 Cluster QF Web3 Open Source Software,Aug 2023,"10,931.72",$192.83
Libree,GG18 Cluster QF Web3 Open Source Software,Aug 2023,"10,931.72",$173.09
Smoothly,GG18 Cluster QF Web3 Open Source Software,Aug 2023,"10,883.03",$170.61
Eppie: Web3 native email,GG18 Cluster QF Web3 Open Source Software,Aug 2023,"10,448.74",$162.35
Decentraclasses,GG18 Cluster QF Web3 Open Source Software,Aug 2023,"10,120.79",$159.69
growthepie.xyz 🥧📏 - Layer 2 and Blockspace Analytics,GG18 Cluster QF Web3 Open Source Software,Aug 2023,"9,937.93",$145.20
VueDapp,GG18 Cluster QF Web3 Open Source Software,Aug 2023,"9,937.93",$134.74
DAOstar,GG18 Cluster QF Web3 Open Source Software,Aug 2023,"9,937.93",$133.38
wagmi fund,GG18 Cluster QF Web3 Open Source Software,Aug 2023,"9,937.93",$126.34
ENSRedirect,GG18 Cluster QF Web3 Open Source Software,Aug 2023,"9,937.93",$121.52
TurtleShell,GG18 Cluster QF Web3 Open Source Software,Aug 2023,"9,937.93",$120.78
Kiwi News,GG18 Cluster QF Web3 Open Source Software,Aug 2023,"9,937.93",$120.78
Using ZK for game optimization in Dark Forest,GG18 Cluster QF Web3 Open Source Software,Aug 2023,"9,937.93",$115.48
Grassroots Economics,GG18 Cluster QF Web3 Open Source Software,Aug 2023,"9,937.93",$106.49
Geo Web Core Contributors,GG18 Cluster QF Web3 Open Source Software,Aug 2023,"9,937.93",$103.40
Pepemon: Degen Battleground,GG18 Cluster QF Web3 Open Source Software,Aug 2023,"9,937.93",$100.38
LunCo - decentralized space missions engineering,GG18 Cluster QF Web3 Open Source Software,Aug 2023,"9,937.93",$99.92
Ether Alpha,GG18 Cluster QF Web3 Open Source Software,Aug 2023,"9,937.93",$84.69
FundPG,GG18 Cluster QF Web3 Open Source Software,Aug 2023,"9,937.93",$83.53
AutoChessia,GG18 Cluster QF Web3 Open Source Software,Aug 2023,"9,937.93",$82.97
Smart Invoice,GG18 Cluster QF Web3 Open Source Software,Aug 2023,"9,937.93",$82.35
0xFable,GG18 Cluster QF Web3 Open Source Software,Aug 2023,"9,937.93",$79.03
GasLockR,GG18 Cluster QF Web3 Open Source Software,Aug 2023,"9,937.93",$74.62
Pairwise: Tinder UX for web3 community signaling,GG18 Cluster QF Web3 Open Source Software,Aug 2023,"9,937.93",$71.31
Grant pool to fund NFC x ZK experiments,GG18 Cluster QF Web3 Open Source Software,Aug 2023,"9,937.93",$62.41
Pin Save: decentralized Pinterest,GG18 Cluster QF Web3 Open Source Software,Aug 2023,"9,937.93",$60.14
Arkiver SDK,GG18 Cluster QF Web3 Open Source Software,Aug 2023,"9,937.93",$57.25
benzin,GG18 Cluster QF Web3 Open Source Software,Aug 2023,"9,937.93",$56.60
OpenCann,GG18 Cluster QF Web3 Open Source Software,Aug 2023,"9,937.93",$56.34
Hildr,GG18 Cluster QF Web3 Open Source Software,Aug 2023,"9,937.93",$55.93
Liker Land - Writing NFT - Open Content Culture Backed by Readers,GG18 Cluster QF Web3 Open Source Software,Aug 2023,"9,937.93",$53.76
Praise: Empowering Open-Source Community Intelligence,GG18 Cluster QF Web3 Open Source Software,Aug 2023,"9,937.93",$51.90
The Truth Post,GG18 Cluster QF Web3 Open Source Software,Aug 2023,"8,832.83",$48.85
Public Assembly,GG18 Cluster QF Web3 Open Source Software,Aug 2023,"8,447.24",$47.67
Fairdrive,GG18 Cluster QF Web3 Open Source Software,Aug 2023,"7,453.45",$46.25
Lume Web: Redefining the Open Web,GG18 Cluster QF Web3 Open Source Software,Aug 2023,"7,453.45",$46.05
Open Spellbook,GG18 Cluster QF Web3 Open Source Software,Aug 2023,"6,708.10",$40.78
Community-bound Tokens,GG18 Cluster QF Web3 Open Source Software,Aug 2023,"6,637.54",$38.79
Militereum,GG18 Cluster QF Web3 Open Source Software,Aug 2023,"6,459.65",$37.45
StatelessArt,GG18 Cluster QF Web3 Open Source Software,Aug 2023,"5,962.76",$35.68
Kredeum NFTs Factory,GG18 Cluster QF Web3 Open Source Software,Aug 2023,"5,128.96",$34.66
datalatte ☕️,GG18 Cluster QF Web3 Open Source Software,Aug 2023,"5,128.96",$32.68
Jolly Roger and Hardhat-deploy,GG18 Cluster QF Web3 Open Source Software,Aug 2023,"4,968.96",$30.45
Flexible Voting,GG18 Cluster QF Web3 Open Source Software,Aug 2023,"4,968.96",$23.24
Solhint,GG18 Cluster QF Web3 Open Source Software,Aug 2023,"4,968.96",$22.79
PEERUP,GG18 Cluster QF Web3 Open Source Software,Aug 2023,"4,968.96",$21.16
Tropykus,GG18 Cluster QF Web3 Open Source Software,Aug 2023,"4,968.96",$19.97
TruQuest,GG18 Cluster QF Web3 Open Source Software,Aug 2023,"4,968.96",$18.27
Dandelion,GG18 Cluster QF Web3 Open Source Software,Aug 2023,"4,968.96",$16.47
AikiSend,GG18 Cluster QF Web3 Open Source Software,Aug 2023,"4,968.96",$15.64
Impact Stream,GG18 Cluster QF Web3 Open Source Software,Aug 2023,"4,968.96",$14.42
Sprintcheckout,GG18 Cluster QF Web3 Open Source Software,Aug 2023,"4,968.96",$13.26
Whal3s,GG18 Cluster QF Web3 Open Source Software,Aug 2023,"4,968.96",$10.94
mirall0x,GG18 Cluster QF Web3 Open Source Software,Aug 2023,"4,968.96",$9.86
Replica_IO – a framework for composing practical distributed replication mechanisms,GG18 Cluster QF Web3 Open Source Software,Aug 2023,"4,968.96",$8.90
Permet,GG18 Cluster QF Web3 Open Source Software,Aug 2023,"4,968.96",$8.14
StaTwig Supply Chain Visibility for Life Saving Vaccines and Food,GG18 Cluster QF Web3 Open Source Software,Aug 2023,"4,968.96",$6.57
Space Marketplace,GG18 Cluster QF Web3 Open Source Software,Aug 2023,"4,968.96",$6.56
Scry,GG18 Cluster QF Web3 Open Source Software,Aug 2023,"4,968.96",$6.11
EtherScore,GG18 Cluster QF Web3 Community & Education,Aug 2023,"4,968.96","$15,000.00"
KudasaiJP,GG18 Cluster QF Web3 Community & Education,Aug 2023,"4,968.96","$15,000.00"
ZachXBT,GG18 Cluster QF Web3 Community & Education,Aug 2023,"4,968.96","$15,000.00"
BanklessDAO,GG18 Cluster QF Web3 Community & Education,Aug 2023,"4,968.96","$9,879.70"
GreenPill Network,GG18 Cluster QF Web3 Community & Education,Aug 2023,"4,968.96","$8,677.02"
Urbanika & the Climate Positive Traveling School,GG18 Cluster QF Web3 Community & Education,Aug 2023,"4,968.96","$7,260.78"
Blocktrend（區塊勢）,GG18 Cluster QF Web3 Community & Education,Aug 2023,"4,968.96","$5,733.98"
JobStash,GG18 Cluster QF Web3 Community & Education,Aug 2023,"4,968.96","$4,841.54"
Token Engineering Commons,GG18 Cluster QF Web3 Community & Education,Aug 2023,"4,968.96","$4,645.48"
Bankless Academy,GG18 Cluster QF Web3 Community & Education,Aug 2023,"4,968.96","$4,325.75"
yAcademy Auditing Fellowships,GG18 Cluster QF Web3 Community & Education,Aug 2023,"4,968.96","$4,177.69"
LexDAO,GG18 Cluster QF Web3 Community & Education,Aug 2023,"4,968.96","$4,092.30"
The Noun Square,GG18 Cluster QF Web3 Community & Education,Aug 2023,"4,968.96","$3,865.16"
Bankless Africa,GG18 Cluster QF Web3 Community & Education,Aug 2023,"4,968.96","$3,797.98"
Unitap,GG18 Cluster QF Web3 Community & Education,Aug 2023,"4,968.96","$3,685.16"
OpenUX: Open Source Web3 UX-Insights,GG18 Cluster QF Web3 Community & Education,Aug 2023,"4,968.96","$3,511.55"
ReFi DAO — Unlocking a Global Regen CoordiNATION,GG18 Cluster QF Web3 Community & Education,Aug 2023,"4,968.96","$3,478.00"
Rocket Fuel,GG18 Cluster QF Web3 Community & Education,Aug 2023,"4,968.96","$3,280.30"
Gitcoin China Ecosystem Development,GG18 Cluster QF Web3 Community & Education,Aug 2023,"4,968.96","$3,231.45"
Ethereum Colombia DAO,GG18 Cluster QF Web3 Community & Education,Aug 2023,"4,968.96","$2,984.92"
Biteye,GG18 Cluster QF Web3 Community & Education,Aug 2023,"4,968.96","$2,840.03"
Defy Foundation,GG18 Cluster QF Web3 Community & Education,Aug 2023,"4,968.96","$2,652.88"
Upgrading Ethereum Book,GG18 Cluster QF Web3 Community & Education,Aug 2023,"4,968.96","$2,388.44"
The Tapestry,GG18 Cluster QF Web3 Community & Education,Aug 2023,"4,223.62","$2,306.74"
0xBlob,GG18 Cluster QF Web3 Community & Education,Aug 2023,"2,732.93","$2,229.21"
Regens Unite: bridging the gap between web3 and local regens,GG18 Cluster QF Web3 Community & Education,Aug 2023,"2,732.93","$2,138.82"
MetaFest,GG18 Cluster QF Web3 Community & Education,Aug 2023,"1,987.59","$2,132.69"
Proof of Integrity,GG18 Cluster QF Web3 Community & Education,Aug 2023,"1,987.59","$1,825.75"
Kairos Research,GG18 Cluster QF Web3 Community & Education,Aug 2023,"1,987.59","$1,807.88"
ETHAccra,GG18 Cluster QF Web3 Community & Education,Aug 2023,500000,"$1,766.94"
"Nurstar's Educational Formats (Stark Cafe, Starknet Daily Recap, Hablando de Starknet ",GG18 Cluster QF Web3 Community & Education,Aug 2023,500000,"$1,741.35"
Psychedelic Puppet Show,GG18 Cluster QF Web3 Community & Education,Aug 2023,481556.2,"$1,686.01"
Mycelia : Bridging Web3 to Indigenous Public Goods,GG18 Cluster QF Web3 Community & Education,Aug 2023,426708.1,"$1,626.78"
Ethereum Lima,GG18 Cluster QF Web3 Community & Education,Aug 2023,359091.2,"$1,615.07"
Bankless Publishing,GG18 Cluster QF Web3 Community & Education,Aug 2023,349239.5,"$1,562.19"
Week in Ethereum News,GG18 Cluster QF Web3 Community & Education,Aug 2023,276764.7,"$1,540.60"
Send vulnerable children to school,GG18 Cluster QF Web3 Community & Education,Aug 2023,256650.1,"$1,517.22"
ENS DAO Newsletter:  Providing news and core ENS development to the global Ethereum community.,GG18 Cluster QF Web3 Community & Education,Aug 2023,227800.2,"$1,494.55"
Follow The Black Hare,GG18 Cluster QF Web3 Community & Education,Aug 2023,219455.8,"$1,442.46"
MetricsDAO,GG18 Cluster QF Web3 Community & Education,Aug 2023,175529.8,"$1,436.14"
Fractal Visions,GG18 Cluster QF Web3 Community & Education,Aug 2023,167055.3,"$1,424.67"
DeFi Africa,GG18 Cluster QF Web3 Community & Education,Aug 2023,159562.3,"$1,410.96"
The Red Guild,GG18 Cluster QF Web3 Community & Education,Aug 2023,156095.4,"$1,398.09"
Bankless Japan Launch Proposal  in Gitcoin,GG18 Cluster QF Web3 Community & Education,Aug 2023,"144,549.90","$1,385.67"
ReFi Japan,GG18 Cluster QF Web3 Community & Education,Aug 2023,143820.6,"$1,376.19"
Ethereum Cat Herders,GG18 Cluster QF Web3 Community & Education,Aug 2023,140782.4,"$1,372.21"
RADAR,GG18 Cluster QF Web3 Community & Education,Aug 2023,139571.8,"$1,366.88"
Crypto Altruism – Accessible Web3 Education for Nonprofits and Changemakers,GG18 Cluster QF Web3 Community & Education,Aug 2023,138120.2,"$1,338.20"
DHK dao,GG18 Cluster QF Web3 Community & Education,Aug 2023,137982,"$1,336.48"
Metagov,GG18 Cluster QF Web3 Community & Education,Aug 2023,129822.5,"$1,307.04"
Women in Blockchain Farsi: Empowering and Educating the Farsi-Speaking Community,GG18 Cluster QF Web3 Community & Education,Aug 2023,121073.9,"$1,297.73"
Fork DAO,GG18 Cluster QF Web3 Community & Education,Aug 2023,119144.9,"$1,277.36"
FABDAO,GG18 Cluster QF Web3 Community & Education,Aug 2023,116271.1,"$1,212.31"
OpenData Community,GG18 Cluster QF Web3 Community & Education,Aug 2023,113944,"$1,184.80"
BanklessUA,GG18 Cluster QF Web3 Community & Education,Aug 2023,111197.1,"$1,170.76"
Empowering women and girls through education and digital skills access,GG18 Cluster QF Web3 Community & Education,Aug 2023,109625,"$1,166.22"
Dream DAO,GG18 Cluster QF Web3 Community & Education,Aug 2023,96867.3,"$1,113.45"
Gravity DAO,GG18 Cluster QF Web3 Community & Education,Aug 2023,94371,"$1,103.69"
Boring Security,GG18 Cluster QF Web3 Community & Education,Aug 2023,86356.4,"$1,056.66"
AceTCG,GG18 Cluster QF Web3 Community & Education,Aug 2023,83042.3,"$1,048.90"
DeSci Africa,GG18 Cluster QF Web3 Community & Education,Aug 2023,83003.2,"$1,010.35"
RadicalxChange Foundation,GG18 Cluster QF Web3 Community & Education,Aug 2023,81776.4,"$1,008.44"
LearnWeb3,GG18 Cluster QF Web3 Community & Education,Aug 2023,80156.8,$997.25
Rhino Review - Ethereum Staking Journal,GG18 Cluster QF Web3 Community & Education,Aug 2023,79151.9,$970.99
mxweb3 crypto hub,GG18 Cluster QF Web3 Community & Education,Aug 2023,77004.3,$926.92
Trish,GG18 Cluster QF Web3 Community & Education,Aug 2023,75952.9,$913.69
DAO TOKYO,GG18 Cluster QF Web3 Community & Education,Aug 2023,75342.8,$900.87
Bankless Turkish,GG18 Cluster QF Web3 Community & Education,Aug 2023,73919,$900.18
Optimism is BOS | Build days with Optimism and Blockchain Operating Systeam,GG18 Cluster QF Web3 Community & Education,Aug 2023,71569.5,$863.97
Web3bridge,GG18 Cluster QF Web3 Community & Education,Aug 2023,69078,$833.82
ELI5 💡 DAO,GG18 Cluster QF Web3 Community & Education,Aug 2023,67262.1,$825.56
Ethereum Guatemala,GG18 Cluster QF Web3 Community & Education,Aug 2023,65940.1,$811.06
Decentralizing Journalism to Restore Public Trust,GG18 Cluster QF Web3 Community & Education,Aug 2023,62948.9,$803.21
Zero Knowledge Podcast,GG18 Cluster QF Web3 Community & Education,Aug 2023,61100.6,$789.97
ODTU Blockchain,GG18 Cluster QF Web3 Community & Education,Aug 2023,59711.2,$784.19
Web3Matters Weekly（馬特週報）,GG18 Cluster QF Web3 Community & Education,Aug 2023,56990,$780.52
Green Digital Guardians,GG18 Cluster QF Web3 Community & Education,Aug 2023,55862.9,$779.34
Ethereum Uruguay,GG18 Cluster QF Web3 Community & Education,Aug 2023,55495.2,$772.64
Solow,GG18 Cluster QF Web3 Community & Education,Aug 2023,54808.5,$726.85
Revolte.,GG18 Cluster QF Web3 Community & Education,Aug 2023,54431.7,$724.93
Web3Arabs,GG18 Cluster QF Web3 Community & Education,Aug 2023,54348.6,$723.42
Cryptonikas,GG18 Cluster QF Web3 Community & Education,Aug 2023,52330.9,$722.09
hiromiouchi.eth,GG18 Cluster QF Web3 Community & Education,Aug 2023,51574,$720.51
Bspeak,GG18 Cluster QF Web3 Community & Education,Aug 2023,50167,$711.23
Natives in Tech,GG18 Cluster QF Web3 Community & Education,Aug 2023,48482.2,$682.85
ETH Venezuela Community Projects,GG18 Cluster QF Web3 Community & Education,Aug 2023,48285.8,$678.06
"ReFi Medellín - Join the movement towards a more sustainable and equitable future in Medellín, Colombia ",GG18 Cluster QF Web3 Community & Education,Aug 2023,47046.3,$673.30
Ethereum News Podcast,GG18 Cluster QF Web3 Community & Education,Aug 2023,44090.4,$669.09
Rifai Sicilia,GG18 Cluster QF Web3 Community & Education,Aug 2023,44061,$649.46
Ethereum Dominicana,GG18 Cluster QF Web3 Community & Education,Aug 2023,43937.5,$645.65
Mechanism Institute,GG18 Cluster QF Web3 Community & Education,Aug 2023,43177.8,$628.94
UNCHAIN,GG18 Cluster QF Web3 Community & Education,Aug 2023,41589.8,$624.51
ResearchHub Foundation - Peer Review,GG18 Cluster QF Web3 Community & Education,Aug 2023,41299.1,$610.06
40acres DAO,GG18 Cluster QF Web3 Community & Education,Aug 2023,40795.7,$600.04
Crypto Sapiens,GG18 Cluster QF Web3 Community & Education,Aug 2023,39276.4,$599.41
Cripto Cantina in Costa Rica,GG18 Cluster QF Web3 Community & Education,Aug 2023,39167.9,$599.13
ForkinWisdom: Revolutionizing Web3 with Immersive Scrollable Stories,GG18 Cluster QF Web3 Community & Education,Aug 2023,38578,$598.50
Wild Sherpas DAO,GG18 Cluster QF Web3 Community & Education,Aug 2023,38468.1,$597.62
Afroblocks,GG18 Cluster QF Web3 Community & Education,Aug 2023,37664.1,$587.41
W3 Project Hub │ W3展報,GG18 Cluster QF Web3 Community & Education,Aug 2023,36884.7,$584.05
Sixdegree Lab,GG18 Cluster QF Web3 Community & Education,Aug 2023,36226.8,$583.65
OpenSense,GG18 Cluster QF Web3 Community & Education,Aug 2023,36109.5,$576.99
ReFi Mexico Local Node ✨🌱,GG18 Cluster QF Web3 Community & Education,Aug 2023,32893,$556.16
EIPsInsight,GG18 Cluster QF Web3 Community & Education,Aug 2023,32877.4,$542.49
VoiceDeck: A Marketplace for Journalism Impact Certificates,GG18 Cluster QF Web3 Community & Education,Aug 2023,31748.6,$537.23
MetaCulture: A Cult DAO Community Initiative,GG18 Cluster QF Web3 Community & Education,Aug 2023,30868.8,$519.92
akiyaDAO,GG18 Cluster QF Web3 Community & Education,Aug 2023,29956.7,$517.30
La Dream Machine's GR18,GG18 Cluster QF Web3 Community & Education,Aug 2023,29452.8,$514.15
MrCrypto Arabic,GG18 Cluster QF Web3 Community & Education,Aug 2023,28272.3,$500.00
Global Events,GG18 Cluster QF Web3 Community & Education,Aug 2023,28157.4,$477.92
Nación Bankless,GG18 Cluster QF Web3 Community & Education,Aug 2023,28129.7,$468.06
FTW DAO,GG18 Cluster QF Web3 Community & Education,Aug 2023,27255.3,$467.85
404 DAO,GG18 Cluster QF Web3 Community & Education,Aug 2023,27168,$464.07
GreenPill Video Project,GG18 Cluster QF Web3 Community & Education,Aug 2023,27117.9,$463.35
BlockX2: Mentoring Young Girls onto Blockchain,GG18 Cluster QF Web3 Community & Education,Aug 2023,26670.6,$456.58
ReFi Costa Rica: Regenerating our Optimism,GG18 Cluster QF Web3 Community & Education,Aug 2023,26499.4,$434.03
WAGMI LATAM,GG18 Cluster QF Web3 Community & Education,Aug 2023,26414.3,$426.30
L2 Planet,GG18 Cluster QF Web3 Community & Education,Aug 2023,24878.9,$420.69
Ethereum Mexico,GG18 Cluster QF Web3 Community & Education,Aug 2023,24870.6,$419.69
Asilo Digital,GG18 Cluster QF Web3 Community & Education,Aug 2023,23502.2,$412.45
CryptoConexión: A Community of Communities Fostering Connection and Growth in Latin American Web3 Education,GG18 Cluster QF Web3 Community & Education,Aug 2023,23354.9,$409.51
DAZE,GG18 Cluster QF Web3 Community & Education,Aug 2023,23349.7,$397.46
web3 Warri Nigeria,GG18 Cluster QF Web3 Community & Education,Aug 2023,22893.1,$392.98
Blockchain na Escola,GG18 Cluster QF Web3 Community & Education,Aug 2023,20724.5,$380.76
Take Up Space,GG18 Cluster QF Web3 Community & Education,Aug 2023,20579.8,$372.77
MKT Community,GG18 Cluster QF Web3 Community & Education,Aug 2023,19870.8,$362.02
Borderless,GG18 Cluster QF Web3 Community & Education,Aug 2023,18631.5,$353.80
PDX DAO: Urban Experimentalism for Web3,GG18 Cluster QF Web3 Community & Education,Aug 2023,18408.5,$351.94
Cloud Scouts,GG18 Cluster QF Web3 Community & Education,Aug 2023,18251,$347.94
Web3 Talks:,GG18 Cluster QF Web3 Community & Education,Aug 2023,18164.3,$341.78
OptiChads,GG18 Cluster QF Web3 Community & Education,Aug 2023,18101.7,$338.12
Salman Needs A Job,GG18 Cluster QF Web3 Community & Education,Aug 2023,17877.5,$331.48
FrontierDAO - XKind community cohort,GG18 Cluster QF Web3 Community & Education,Aug 2023,17550.6,$324.29
DeFinomics Labs,GG18 Cluster QF Web3 Community & Education,Aug 2023,17490.5,$317.02
DirectEd- p2p on-chain scholarships for coding bootcamps in East Africa,GG18 Cluster QF Web3 Community & Education,Aug 2023,16873.7,$311.11
dOrg Hot Seat Podcast,GG18 Cluster QF Web3 Community & Education,Aug 2023,15736.6,$297.38
Trusted Seed,GG18 Cluster QF Web3 Community & Education,Aug 2023,15224.3,$294.96
Ethereum Bolivia 2023 Hackaton at 3600 m,GG18 Cluster QF Web3 Community & Education,Aug 2023,14418.9,$285.28
Impact Academy: making impact knowledge accessible,GG18 Cluster QF Web3 Community & Education,Aug 2023,14254.2,$281.39
Web3 Grant Proposal: Empowering LGBTQIA+ Communities with Choice,GG18 Cluster QF Web3 Community & Education,Aug 2023,"13,996.50",$280.36
Regens Unite London,GG18 Cluster QF Web3 Community & Education,Aug 2023,13867.8,$279.94
ReFi Lagos,GG18 Cluster QF Web3 Community & Education,Aug 2023,13662.7,$275.37
Kyiv Tech,GG18 Cluster QF Web3 Community & Education,Aug 2023,13521.8,$273.07
Decentralized Library,GG18 Cluster QF Web3 Community & Education,Aug 2023,12889.8,$272.80
