Recipient / Grantee,Wave/Round,Term,Amount (ETH),Amount (USD)
Sponsor MetaPod Launch Event + Pilot Program,Prop,Jan 2022,8.00,"$21,494.56"
Minion sends a token,Prop,Jan 2022,,"$25,100.00"
[Updated] Part 1: Funding proposal for Creative,,Jan 2022,1.60,"$4,298.91"
Tokenized Engagement,Prop,Jan 2022,,"$2,500.00"
Minion sends a token,Prop,Jan 2022,,"$50,000.00"
Minion sends a token,Prop,Dec 2021,,"$25,000.00"
Contribute Winners Funding proposal,Prop,Dec 2021,1.40,"$5,148.99"
Minion sends a token,Prop,Dec 2021,,"$25,000.00"
Paladin/Astrology services in 2021,Prop,Dec 2021,5.00,"$18,389.25"
Minion sends a token,Prop,Dec 2021,,"$5,000.00"
Yapeswap (corrected address),Prop,Dec 2021,1.10,"$4,045.64"
MetaMoloch - M1 Proposal,Prop,Dec 2021,8.00,"$29,422.80"
1 share & WETH to Helmass for MetaMoloch proposal work,Prop,Dec 2021,0.55,"$2,022.82"
Minion sends a token,Prop,Nov 2021,,"$30,000.00"
Funding Padawan Dashboard,Prop,Nov 2021,,"$5,000.00"
Spice Bank: Treasury Proposal,Prop,Nov 2021,110.00,"$509,179.00"
Paladins Budget Request,Prop,Nov 2021,12.00,"$55,546.80"
Behind the Handle Funding Reqest,Prop,Nov 2021,,"$5,000.00"
MetaCamp - A DAO Summit,Prop,Sep 2021,5.50,"$16,503.25"
Funding Proposal for Chili Community Manager,Prop,Sep 2021,,"$2,000.00"
Funding Proposal: PoolWORKs,Prop,Sep 2021,8.00,"$24,004.72"
"Atlantis World - a pixel metaverse with token-gating, video calling, gamified DeFi + in-game DAO voting!",Prop,Aug 2021,,"$10,000.00"
Funding Proposal for Chili Community Manager,Prop,Aug 2021,,"$4,000.00"
Chili Token Launch,Prop,Aug 2021,,"$2,000.00"
MetaCartel Grants Offboarding,Prop,Aug 2021,,"$4,000.00"
Li.Finance - Cross-Chain Liquidity Network Aggregation,Prop,Jul 2021,,"$5,000.00"
$CHILI farm squad,Prop,Jul 2021,,"$7,500.00"
[Funding Proposal] Paladin Distro + CHILI Ops,Prop,Jun 2021,,"$3,600.00"
Money Mage - June 2021,Prop,Jun 2021,,"$4,000.00"
Cartel On-site Event Budget,,Jun 2021,4.00,"$9,095.36"
$ANIMAL CreatorToken,,Jun 2021,,"$5,000.00"
CommitPool Grant Proposal,,Jun 2021,,"$6,500.00"
